instrument_id,instrument_code,issuer_id,instrument_type,notional,currency,issue_date,maturity_date
35,INS000035,180,CP,158424255.58,EUR,2023-05-27,2029-03-19
36,INS000036,999999,Loan,111125929.73,JPY,2021-08-13,2023-07-24
37,INS000037,399,Bond,169730528.78,JPY,2023-04-12,2032-01-08
38,INS000038,106,Loan,149820884.56,JPY,2020-11-26,2028-09-15
39,INS000039,331,Loan,99482656.27,USD,2018-04-22,2028-02-04
40,INS000040,124,Bond,106129013.69,USD,2020-10-20,2028-12-15
41,INS000041,185,Loan,77980811.52,CRC,2023-03-28,2027-10-14
42,INS000042,188,Loan,152782461.64,USD,2021-01-23,2029-09-20
43,INS000043,9,Bond,53174870.16,USD,2021-04-17,2023-01-18
44,INS000044,473,MTN,101815510.25,CRC,2018-05-04,2028-03-09
45,INS000045,217,Bond,128466920.37,EUR,2021-12-08,2027-06-12
46,INS000046,143,Bond,102749634.96,EUR,2018-06-21,2022-12-11
47,INS000047,499,CP,78755569.09,USD,2022-07-13,2025-04-09
48,INS000048,159,Loan,12523282.86,USD,2021-12-01,2027-10-27
49,INS000049,474,MTN,122847062.09,USD,2020-06-08,2022-09-26
50,INS000050,159,Loan,24769158.37,EUR,2021-09-26,2031-01-19
51,INS000051,360,MTN,190650224.15,JPY,2018-01-24,2020-11-25
52,INS000052,999999,CP,146854231.67,XXX,2020-02-01,2022-07-04
53,INS000053,395,CP,161614461.48,JPY,2023-01-17,2024-05-16
54,INS000054,269,Bond,99733366.22,JPY,2018-05-11,2022-04-22
55,INS000055,29,Loan,74169867.79,JPY,2020-10-20,2028-02-27
56,INS000056,396,Bond,46452480.21,USD,2018-07-30,2026-01-04
57,INS000057,23,Loan,10150324.45,JPY,2022-10-25,2023-12-14
58,INS000058,197,Loan,186300855.35,USD,2023-02-28,2023-02-28
59,INS000059,284,MTN,45678547.45,EUR,2022-07-03,2031-07-05
60,INS000060,214,CP,54980333.64,USD,2023-02-19,2032-03-18
61,INS000061,999999,Bond,36689525.7,USD,2020-02-03,2022-06-06
62,INS000062,489,MTN,173340413.77,JPY,2020-04-01,2022-01-08
63,INS000063,168,MTN,2585865.54,EUR,2018-06-26,2025-09-07
64,INS000064,150,CP,148175621.36,EUR,2021-02-28,2030-12-16
65,INS000065,238,MTN,199559636.14,EUR,2020-01-25,2027-09-13
66,INS000066,376,Loan,30962708.98,CRC,2023-01-19,2030-03-06
67,INS000067,13,CP,127552426.06,USD,2019-04-23,2026-05-19
68,INS000068,487,MTN,169952191.57,JPY,2019-11-18,2020-11-22
69,INS000069,54,Loan,84543352.56,USD,2019-02-25,2026-02-03
70,INS000070,498,CP,19512301.03,EUR,2018-10-19,2027-10-11
71,INS000071,460,MTN,140468535.03,JPY,2022-09-28,2029-07-26
72,INS000072,235,Bond,116573354.85,EUR,2023-06-19,2032-11-06
73,INS000073,327,Bond,118787256.9,USD,2022-08-07,2028-01-08
74,INS000074,223,Loan,59043528.79,JPY,2021-09-18,2024-03-06
75,INS000075,475,CP,64293486.13,JPY,2022-06-29,2027-11-24
76,INS000076,120,Loan,156207459.51,USD,2018-06-02,2021-09-09
77,INS000077,80,MTN,93744967.37,CRC,2018-08-05,2018-08-05
78,INS000078,62,Loan,90931498.31,CRC,2021-01-02,2026-01-08
79,INS000079,136,Bond,32365460.04,JPY,2022-10-12,2025-02-14
80,INS000080,424,Bond,43789137.11,JPY,2021-12-14,2030-10-07
81,INS000081,76,Loan,193711600.83,CRC,2018-07-06,2027-06-26
82,INS000082,263,CP,52773191.75,EUR,2018-04-11,2026-11-13
83,INS000083,16,MTN,111634798.55,EUR,2023-05-04,2028-11-14
84,INS000084,49,Loan,25169197.85,USD,2020-08-04,2022-09-25
85,INS000085,426,Loan,40428474.0,CRC,2022-05-19,2025-11-14
86,INS000086,191,Bond,116882436.48,JPY,2021-11-06,2029-11-30
87,INS000087,470,Bond,199435123.8,EUR,2022-07-23,2024-05-25
88,INS000088,463,Loan,19303749.09,JPY,2021-08-15,2021-08-15
89,INS000089,999999,Bond,34429852.54,CRC,2018-03-29,2018-03-29
90,INS000090,421,MTN,6866976.31,CRC,2022-01-23,2027-06-28
91,INS000091,89,Loan,55721372.04,CRC,2019-12-26,2023-05-23
92,INS000092,453,Loan,129808401.69,CRC,2018-11-01,2020-03-21
93,INS000093,211,MTN,13134834.72,JPY,2022-12-13,2030-02-14
94,INS000094,197,Loan,128887852.6,EUR,2018-10-09,2024-06-21
95,INS000095,323,Bond,197891319.54,JPY,2022-07-01,2029-08-04
96,INS000096,246,MTN,69462789.84,JPY,2021-01-20,2030-10-25
97,INS000097,199,Bond,64456635.9,EUR,2019-07-08,2022-07-13
98,INS000098,16,CP,12659654.83,CRC,2023-01-09,2032-10-01
99,INS000099,272,Loan,194821992.48,USD,2020-01-03,2029-08-08
100,INS000100,127,CP,107204223.35,USD,2021-09-07,2025-05-21
101,INS000101,392,MTN,71606122.28,EUR,2023-04-26,2026-10-10
102,INS000102,91,CP,161435834.85,JPY,2019-04-30,2026-12-20
103,INS000103,468,CP,189564188.28,EUR,2021-04-26,2022-08-19
104,INS000104,289,MTN,108882795.7,EUR,2023-04-27,2026-06-06
105,INS000105,252,Bond,47292048.26,EUR,2018-03-19,2020-03-22
106,INS000106,11,Bond,67015064.72,EUR,2020-12-14,2027-04-24
107,INS000107,413,Loan,183837376.67,JPY,2018-09-25,2023-07-21
108,INS000108,31,Loan,155098933.27,JPY,2018-02-14,2020-10-11
109,INS000109,492,MTN,117617315.97,JPY,2018-05-29,2023-08-06
110,INS000110,155,Loan,146738053.06,CRC,2019-10-23,2022-05-03
111,INS000111,406,CP,35666331.52,JPY,2021-08-02,2028-01-18
112,INS000112,115,Loan,76298437.52,JPY,2021-09-25,2029-05-03
113,INS000113,66,Bond,189808832.74,CRC,2018-12-30,2028-03-02
114,INS000114,436,Bond,37234269.45,JPY,2022-04-28,2029-09-07
115,INS000115,472,Loan,128289707.78,USD,2022-07-15,2030-05-23
116,INS000116,480,CP,149323322.29,EUR,2020-10-13,2023-05-12
117,INS000117,178,Bond,164510699.28,JPY,2019-10-17,2022-09-03
118,INS000118,229,Loan,50658631.76,USD,2018-01-24,2022-01-14
119,INS000119,180,Bond,144362304.01,USD,2019-06-10,2029-04-06
120,INS000120,198,MTN,193851263.2,CRC,2020-06-16,2029-09-02
121,INS000121,253,CP,109658769.57,XXX,2022-12-11,2028-03-10
122,INS000122,425,Loan,33368645.84,USD,2020-09-08,2030-07-13
123,INS000123,410,CP,4995521.67,JPY,2022-09-29,2024-02-12
124,INS000124,488,CP,34850935.43,CRC,2018-08-03,2020-06-01
125,INS000125,83,Bond,68252166.27,CRC,2022-02-08,2023-12-12
126,INS000126,361,Loan,121856207.51,CRC,2018-03-05,2024-01-04
127,INS000127,81,CP,41904544.87,EUR,2018-04-20,2018-04-20
128,INS000128,210,CP,132458980.65,JPY,2021-11-28,2029-02-13
129,INS000129,122,MTN,114782191.76,CRC,2018-07-16,2020-02-04
130,INS000130,79,Bond,86093585.53,JPY,2018-04-22,2023-05-08
131,INS000131,422,MTN,40735285.35,USD,2021-09-17,2029-09-20
132,INS000132,106,CP,195434481.5,CRC,2018-12-16,2027-02-11
133,INS000133,433,MTN,94717946.14,JPY,2018-08-25,2023-02-08
134,INS000134,47,MTN,37791362.89,CRC,2021-08-07,2028-09-12
135,INS000135,190,Bond,53395897.37,CRC,2019-01-18,2025-01-16
136,INS000136,135,Bond,31075004.21,USD,2019-04-09,2023-04-13
137,INS000137,44,MTN,194170401.9,EUR,2021-09-30,2026-08-08
138,INS000138,284,MTN,193159913.11,CRC,2018-05-05,2023-09-06
139,INS000139,294,MTN,60471569.69,CRC,2022-12-11,2026-08-02
140,INS000140,463,Bond,100918192.59,EUR,2022-10-15,2031-10-18
141,INS000141,62,MTN,35402915.59,EUR,2023-04-29,2032-10-24
142,INS000142,498,Loan,9492504.23,USD,2019-03-10,2022-05-07
143,INS000143,350,Loan,166987515.62,JPY,2020-06-10,2023-09-15
144,INS000144,164,Bond,18318460.73,CRC,2023-02-09,2032-04-05
145,INS000145,283,MTN,183515220.25,USD,2019-10-30,2019-10-30
146,INS000146,403,MTN,23391249.68,EUR,2021-12-05,2029-11-30
147,INS000147,76,Bond,185060705.19,USD,2021-03-06,2028-10-08
148,INS000148,403,CP,175700818.98,JPY,2019-08-09,2019-08-09
149,INS000149,197,MTN,8455668.43,JPY,2021-09-03,2028-02-12
150,INS000150,207,MTN,8717723.96,XXX,2018-10-22,2026-09-27
151,INS000151,354,MTN,184246161.6,JPY,2019-05-02,2020-11-18
152,INS000152,11,CP,62878910.27,CRC,2019-11-23,2029-10-16
153,INS000153,440,Bond,194526831.89,EUR,2021-11-26,2030-08-01
154,INS000154,69,MTN,155032149.14,JPY,2019-09-08,2019-09-08
155,INS000155,138,Bond,38399202.49,EUR,2022-02-01,2027-10-05
156,INS000156,468,MTN,152139165.75,JPY,2022-08-15,2028-03-08
157,INS000157,421,Loan,14057776.55,XXX,2018-04-26,2025-02-03
158,INS000158,70,Bond,35573733.85,EUR,2022-05-18,2029-04-03
159,INS000159,429,Bond,91833284.76,JPY,2018-04-29,2022-02-13
160,INS000160,361,CP,164877752.05,CRC,2019-02-12,2023-03-10
161,INS000161,326,Bond,49145680.82,CRC,2023-03-06,2025-07-25
162,INS000162,305,MTN,117789169.44,JPY,2020-07-02,2023-06-29
163,INS000163,177,Bond,57728805.91,CRC,2018-12-01,2022-10-25
164,INS000164,26,Loan,171565126.3,EUR,2018-11-30,2026-04-30
165,INS000165,347,MTN,103142965.52,USD,2019-02-28,2023-03-06
166,INS000166,243,Loan,120627248.15,USD,2023-02-10,2025-08-04
167,INS000167,115,CP,142835357.13,JPY,2019-06-01,2027-03-27
168,INS000168,217,CP,92340605.76,EUR,2023-01-08,2028-03-29
169,INS000169,239,MTN,117312944.01,USD,2019-09-11,2028-04-14
170,INS000170,262,CP,60396709.32,USD,2021-09-18,2026-11-28
171,INS000171,247,CP,128478354.38,JPY,2018-05-11,2023-02-16
172,INS000172,134,CP,38483656.17,EUR,2021-09-05,2030-08-26
173,INS000173,461,MTN,132445534.41,EUR,2018-04-27,2026-01-17
174,INS000174,370,MTN,199496350.82,JPY,2018-02-22,2026-06-29
175,INS000175,465,MTN,147609687.05,EUR,2020-05-07,2025-11-19
176,INS000176,176,Loan,137577304.08,CRC,2022-01-27,2031-01-26
177,INS000177,465,CP,101955656.27,EUR,2023-04-11,2031-10-22
178,INS000178,431,Loan,59463026.52,CRC,2021-09-08,2028-12-11
179,INS000179,66,Loan,189437752.66,JPY,2022-02-26,2026-01-20
180,INS000180,336,CP,45442257.15,JPY,2018-07-02,2021-12-28
181,INS000181,216,CP,52851287.85,JPY,2022-06-03,2027-02-19
182,INS000182,238,MTN,11681713.93,USD,2022-10-10,2025-02-03
183,INS000183,242,Bond,173632053.18,CRC,2022-12-27,2026-03-02
184,INS000184,272,Bond,174298980.12,EUR,2019-09-04,2025-04-22
185,INS000185,71,MTN,197451128.28,CRC,2019-02-15,2023-12-19
186,INS000186,74,Loan,156009294.31,CRC,2019-10-10,2028-10-18
187,INS000187,171,CP,127265294.86,USD,2021-07-16,2024-07-09
188,INS000188,232,Loan,115679504.23,EUR,2019-07-15,2022-11-18
189,INS000189,251,Bond,26751785.56,CRC,2022-05-28,2031-12-19
190,INS000190,325,MTN,193100240.19,CRC,2020-05-29,2020-05-29
191,INS000191,999999,Loan,146401155.01,USD,2018-03-19,2025-03-13
192,INS000192,999999,Loan,4565309.0,XXX,2019-10-22,2029-04-17
193,INS000193,321,Loan,139011424.69,JPY,2022-02-11,2025-11-26
194,INS000194,160,MTN,101163959.26,JPY,2018-09-22,2020-11-15
195,INS000195,86,CP,189744211.64,CRC,2018-05-14,2019-11-17
196,INS000196,373,CP,87299380.78,EUR,2020-12-01,2028-08-08
197,INS000197,176,CP,150273000.87,EUR,2023-01-21,2029-07-20
198,INS000198,486,Bond,46455238.68,EUR,2023-02-01,2028-08-10
199,INS000199,109,Loan,25509234.37,USD,2022-02-12,2023-05-12
200,INS000200,193,CP,154478683.01,USD,2022-12-01,2031-02-04
201,INS000201,305,Bond,131059956.06,USD,2018-04-09,2026-09-10
202,INS000202,25,MTN,89418543.5,USD,2021-11-13,2024-03-01
203,INS000203,281,Loan,41893488.22,USD,2019-06-02,2025-09-26
204,INS000204,155,Bond,132834110.21,JPY,2020-05-11,2028-10-11
205,INS000205,319,Loan,84346324.6,USD,2021-05-25,2030-04-03
206,INS000206,262,Bond,57258646.87,USD,2022-01-12,2029-12-16
207,INS000207,255,Loan,155813824.4,EUR,2019-02-11,2026-12-10
208,INS000208,184,CP,32914346.13,CRC,2021-12-11,2027-07-16
209,INS000209,467,MTN,66790119.62,USD,2019-03-02,2027-11-18
210,INS000210,7,Bond,167211200.89,CRC,2021-10-07,2023-10-06
211,INS000211,77,Bond,144989159.76,USD,2023-04-29,2025-05-01
212,INS000212,464,Loan,91893495.71,JPY,2019-06-09,2027-08-30
213,INS000213,136,Bond,162822504.37,USD,2020-08-08,2022-03-01
214,INS000214,437,CP,85773046.07,USD,2019-08-19,2024-09-01
215,INS000215,49,Bond,2924793.22,EUR,2022-10-10,2032-04-10
216,INS000216,340,CP,72147953.44,CRC,2021-08-18,2024-07-16
217,INS000217,490,Bond,75151808.5,JPY,2021-06-27,2025-06-29
218,INS000218,94,MTN,192499676.1,JPY,2018-08-22,2024-02-18
219,INS000219,428,MTN,160179920.29,EUR,2020-02-29,2028-11-23
220,INS000220,58,Bond,196332264.93,EUR,2018-09-29,2027-07-20
221,INS000221,54,MTN,160650692.02,CRC,2020-05-02,2027-12-16
222,INS000222,93,CP,122660325.44,EUR,2021-06-05,2026-09-07
223,INS000223,248,Bond,177631191.68,CRC,2023-02-28,2029-08-19
224,INS000224,24,CP,3459682.38,EUR,2018-05-10,2022-04-15
225,INS000225,490,Bond,87136733.51,EUR,2021-10-03,2026-07-19
226,INS000226,247,MTN,30582236.0,USD,2019-12-10,2028-05-19
227,INS000227,6,MTN,170522359.14,EUR,2021-08-10,2024-05-13
228,INS000228,39,CP,48937471.52,JPY,2022-03-19,2028-09-21
229,INS000229,26,MTN,81252121.7,EUR,2020-11-04,2024-05-04
230,INS000230,41,MTN,18515952.48,CRC,2020-07-29,2026-07-22
231,INS000231,229,MTN,149302553.97,USD,2019-10-10,2022-02-07
232,INS000232,53,Bond,111869071.27,USD,2020-04-06,2025-11-19
233,INS000233,423,CP,178132068.87,EUR,2018-07-06,2028-05-22
234,INS000234,336,CP,73305153.04,USD,2021-10-07,2027-11-18
235,INS000235,419,CP,112470018.18,CRC,2019-04-02,2025-05-06
236,INS000236,367,MTN,23690648.31,EUR,2021-09-07,2026-10-04
237,INS000237,2,CP,109990425.76,JPY,2019-12-01,2019-12-01
238,INS000238,360,Loan,98992006.29,CRC,2018-08-06,2020-02-09
239,INS000239,55,Loan,38321136.71,CRC,2019-06-05,2027-04-11
240,INS000240,111,Loan,143640794.98,USD,2020-07-25,2030-04-29
241,INS000241,388,Bond,154656889.55,CRC,2020-04-28,2021-11-04
242,INS000242,235,Loan,192807096.48,USD,2021-09-10,2029-04-19
243,INS000243,272,MTN,167924406.03,CRC,2022-02-16,2023-09-02
244,INS000244,474,Loan,138671724.81,EUR,2020-11-07,2030-08-11
245,INS000245,375,Bond,78093710.26,JPY,2022-07-28,2025-01-03
246,INS000246,259,MTN,195920651.28,EUR,2022-12-11,2028-04-03
247,INS000247,141,CP,91116295.51,EUR,2020-03-25,2025-01-27
248,INS000248,71,CP,168771811.83,JPY,2020-04-25,2028-01-26
249,INS000249,365,Loan,40976927.38,JPY,2022-02-18,2029-05-04
250,INS000250,352,Loan,196285763.75,EUR,2019-12-09,2028-06-23
251,INS000251,258,CP,142360192.7,JPY,2021-01-16,2029-10-29
252,INS000252,288,MTN,135174453.62,JPY,2020-09-10,2028-03-24
253,INS000253,450,Bond,105023267.26,USD,2022-10-02,2028-06-27
254,INS000254,196,Bond,40780581.04,EUR,2018-10-25,2020-05-29
255,INS000255,147,Loan,168036981.08,JPY,2021-10-31,2025-08-22
256,INS000256,105,Bond,72377805.03,CRC,2022-03-24,2029-04-17
257,INS000257,53,Loan,148740134.44,CRC,2021-06-15,2030-01-10
258,INS000258,122,CP,138894278.97,USD,2020-11-12,2030-08-29
259,INS000259,475,MTN,191383692.03,JPY,2020-02-21,2025-06-26
260,INS000260,495,Bond,148990323.28,EUR,2021-02-04,2022-09-12
261,INS000261,318,MTN,166166712.91,JPY,2022-11-15,2032-08-17
262,INS000262,387,Loan,155453202.28,EUR,2021-04-20,2028-06-05
263,INS000263,151,Bond,38208339.72,EUR,2020-07-08,2023-07-04
264,INS000264,377,MTN,9086212.36,JPY,2020-11-18,2023-03-21
265,INS000265,285,Loan,117213225.48,JPY,2019-06-26,2021-12-09
266,INS000266,3,Loan,8948177.27,JPY,2019-11-08,2026-01-30
267,INS000267,306,CP,98619637.29,XXX,2018-04-15,2027-12-17
268,INS000268,38,CP,105553618.37,EUR,2022-05-25,2031-05-01
269,INS000269,267,Loan,83770317.51,CRC,2018-05-20,2028-03-13
270,INS000270,48,Loan,133003560.81,XXX,2019-12-17,2023-06-10
271,INS000271,185,MTN,199329585.44,USD,2019-08-25,2023-02-04
272,INS000272,59,MTN,48829227.41,EUR,2021-10-01,2026-08-18
273,INS000273,491,CP,76893148.92,USD,2018-03-23,2026-11-16
274,INS000274,198,CP,5916440.21,JPY,2019-06-10,2026-06-30
275,INS000275,264,MTN,97874137.12,JPY,2022-07-03,2029-03-16
276,INS000276,460,CP,103265045.33,USD,2021-08-27,2024-10-23
277,INS000277,86,Bond,125759682.12,EUR,2023-06-13,2033-02-12
278,INS000278,344,Loan,173125220.29,CRC,2021-07-13,2031-03-16
279,INS000279,428,MTN,129665670.7,USD,2018-08-01,2021-11-20
280,INS000280,383,Bond,92385821.82,JPY,2021-11-06,2024-07-27
281,INS000281,20,Bond,36420440.55,JPY,2018-06-29,2020-04-24
282,INS000282,286,Loan,182286328.31,CRC,2018-05-25,2025-11-04
283,INS000283,199,MTN,87171981.89,USD,2020-07-12,2028-08-05
284,INS000284,200,Bond,128643126.55,USD,2021-10-10,2024-02-06
285,INS000285,388,Bond,140475524.25,USD,2022-03-08,2029-09-30
286,INS000286,184,Bond,58677483.17,JPY,2023-03-16,2029-11-03
287,INS000287,311,MTN,76901301.32,USD,2018-06-27,2022-08-23
288,INS000288,243,Loan,28139910.61,CRC,2018-11-17,2025-11-10
289,INS000289,408,CP,192066718.75,EUR,2022-06-22,2029-08-04
290,INS000290,153,CP,191520938.17,USD,2021-10-19,2031-09-18
291,INS000291,284,Loan,25523796.63,USD,2022-11-27,2030-02-16
292,INS000292,294,Bond,61633539.32,JPY,2021-05-06,2026-10-06
293,INS000293,109,Loan,33029917.16,EUR,2020-04-25,2028-07-22
294,INS000294,316,Loan,23809885.88,USD,2022-09-06,2026-07-07
295,INS000295,436,MTN,129290228.26,USD,2022-03-19,2029-05-14
296,INS000296,149,CP,20542277.87,CRC,2021-10-07,2023-07-09
297,INS000297,488,Loan,134587817.59,EUR,2019-11-09,2024-11-09
298,INS000298,52,Bond,180123599.58,JPY,2019-08-07,2027-07-18
299,INS000299,249,CP,138998167.74,EUR,2020-07-11,2025-03-16
300,INS000300,290,CP,191773125.46,EUR,2021-03-06,2026-04-06
301,INS000301,3,Loan,142727626.32,CRC,2019-10-04,2023-07-08
302,INS000302,142,Loan,136236455.79,JPY,2022-09-17,2027-09-28
303,INS000303,450,MTN,72389578.82,JPY,2020-09-09,2026-11-17
304,INS000304,250,Loan,129464769.21,USD,2021-02-03,2023-04-24
305,INS000305,431,Loan,53383695.47,USD,2019-07-29,2022-02-21
306,INS000306,373,Bond,162715837.57,CRC,2018-06-04,2019-08-19
307,INS000307,394,Bond,110767205.71,CRC,2021-04-23,2021-04-23
308,INS000308,335,CP,79107170.82,JPY,2022-05-07,2025-01-04
309,INS000309,69,Bond,79960246.37,USD,2020-08-09,2027-03-23
310,INS000310,340,Loan,151684008.18,EUR,2019-05-05,2027-03-24
311,INS000311,229,Loan,147448041.96,CRC,2018-11-23,2021-11-25
312,INS000312,481,Loan,152533003.19,EUR,2020-01-05,2021-06-18
313,INS000313,33,Loan,9518879.73,EUR,2019-06-26,2024-08-16
314,INS000314,266,CP,78230528.88,CRC,2023-02-03,2032-12-18
315,INS000315,452,CP,21541777.57,JPY,2018-04-06,2019-09-16
316,INS000316,428,Loan,75955254.34,CRC,2022-02-28,2026-02-10
317,INS000317,188,Bond,103815916.61,CRC,2021-04-18,2029-08-15
318,INS000318,499,MTN,71226703.54,JPY,2023-02-02,2026-08-02
319,INS000319,250,Bond,100865559.91,EUR,2022-06-12,2028-11-06
320,INS000320,226,Bond,103393713.36,JPY,2018-12-06,2022-07-05
321,INS000321,109,Loan,73082365.9,USD,2018-11-04,2021-12-08
322,INS000322,339,CP,144330876.12,CRC,2019-04-17,2024-12-09
323,INS000323,346,Loan,118567388.86,CRC,2020-09-07,2027-01-21
324,INS000324,12,Loan,115123815.76,EUR,2019-05-15,2020-11-06
325,INS000325,69,Bond,178268736.62,EUR,2021-07-13,2028-04-11
326,INS000326,29,Loan,103811497.83,CRC,2018-12-07,2022-10-29
327,INS000327,307,Bond,175823287.61,JPY,2023-06-09,2030-10-03
328,INS000328,485,MTN,121698653.69,CRC,2018-06-25,2021-11-28
329,INS000329,445,Loan,166242351.37,EUR,2020-09-13,2023-08-12
330,INS000330,407,Loan,125019136.04,JPY,2021-04-08,2030-11-15
331,INS000331,86,CP,184548037.02,USD,2022-01-23,2030-10-01
332,INS000332,118,Loan,22605452.67,EUR,2020-02-14,2025-06-10
333,INS000333,268,MTN,165476322.93,USD,2022-10-27,2029-06-22
334,INS000334,91,Bond,175672774.91,USD,2020-09-01,2028-07-24
335,INS000335,48,Loan,180494966.39,USD,2020-09-14,2029-02-04
336,INS000336,460,MTN,104886801.7,JPY,2023-04-05,2032-12-11
337,INS000337,448,MTN,46667765.02,CRC,2018-03-30,2027-01-24
338,INS000338,405,CP,118220569.14,USD,2022-04-24,2027-08-02
339,INS000339,218,MTN,153405919.18,USD,2018-10-02,2022-08-09
340,INS000340,146,MTN,52303190.29,USD,2021-05-10,2028-06-14
341,INS000341,364,Bond,116019442.01,USD,2022-03-03,2032-01-08
342,INS000342,267,Loan,137865580.62,JPY,2018-01-15,2023-03-31
343,INS000343,210,Loan,85788246.23,JPY,2020-01-12,2022-03-23
344,INS000344,134,MTN,113369377.29,JPY,2022-10-17,2029-10-20
345,INS000345,349,Loan,83232403.5,CRC,2020-03-24,2029-09-10
346,INS000346,92,MTN,51501751.44,JPY,2020-01-29,2027-05-07
347,INS000347,296,MTN,147420703.69,USD,2019-12-07,2029-08-12
348,INS000348,383,Loan,20955444.89,CRC,2019-04-16,2025-04-18
349,INS000349,403,Bond,32986863.82,USD,2019-11-25,2029-11-17
350,INS000350,412,MTN,185246495.77,CRC,2018-07-06,2021-02-20
351,INS000351,46,Loan,74796190.08,USD,2018-05-12,2022-04-23
352,INS000352,371,CP,142609560.51,USD,2020-02-27,2025-08-25
353,INS000353,485,MTN,88355437.66,EUR,2022-05-04,2025-04-20
354,INS000354,436,CP,39754552.41,EUR,2021-09-07,2028-06-29
355,INS000355,315,Bond,72588259.66,USD,2018-12-14,2027-07-05
356,INS000356,500,CP,156154902.92,JPY,2018-11-19,2020-11-08
357,INS000357,343,Loan,104030797.5,USD,2020-03-20,2025-10-05
358,INS000358,471,CP,145501603.23,JPY,2018-07-04,2025-09-01
359,INS000359,178,Loan,121666318.19,EUR,2023-05-27,2023-05-27
360,INS000360,233,Bond,52960393.63,CRC,2023-03-20,2028-09-28
361,INS000361,260,Bond,101130664.08,JPY,2018-08-07,2025-11-11
362,INS000362,485,CP,175346496.2,JPY,2018-08-28,2025-05-30
363,INS000363,356,MTN,154223471.35,XXX,2020-06-25,2025-09-16
364,INS000364,493,MTN,179408240.73,USD,2022-05-08,2028-06-29
365,INS000365,247,Bond,77151975.94,EUR,2018-08-27,2022-07-18
366,INS000366,347,CP,83072768.47,JPY,2021-12-07,2025-07-05
367,INS000367,265,CP,50403264.26,USD,2021-01-02,2022-02-10
368,INS000368,205,CP,16129735.29,EUR,2021-10-11,2031-03-05
369,INS000369,244,Loan,178968934.32,JPY,2019-10-05,2024-09-21
370,INS000370,94,Loan,100300868.73,EUR,2023-04-24,2032-09-04
371,INS000371,121,CP,42148947.83,EUR,2022-02-15,2025-11-02
372,INS000372,428,CP,32043118.13,USD,2019-05-27,2027-05-03
373,INS000373,62,MTN,123151568.08,USD,2023-02-28,2025-01-14
374,INS000374,435,CP,98975735.16,JPY,2020-09-14,2025-11-12
375,INS000375,252,CP,80178020.08,EUR,2019-01-10,2028-08-05
376,INS000376,28,MTN,96185695.25,USD,2020-12-12,2030-11-28
377,INS000377,258,Loan,91982010.83,USD,2019-12-13,2025-05-12
378,INS000378,358,CP,138152899.26,USD,2020-11-27,2027-01-24
379,INS000379,346,Bond,65761803.78,JPY,2019-03-08,2024-06-08
380,INS000380,96,Loan,54612237.68,JPY,2021-01-28,2025-01-08
