rating_id,entity_type,entity_id,rating_code,rating_date,agency,action_type
81,Issuer,1014,AA-,2020-11-10,S&P,Initial
82,Instrument,1944,BB-,2023-07-07,Moody’s,Downgrade
83,Instrument,176,A,2019-07-16,Moody’s,Upgrade
84,Issuer,1801,ZZZ,2021-10-20,S&P,Review
85,Instrument,117,BB,2022-08-18,Fitch,Initial
86,Instrument,49,CCC,2020-06-11,S&P,Initial
87,Issuer,196,A,2019-01-04,Fitch,Initial
88,Issuer,888888,AAA,2023-06-27,Fitch,Upgrade
89,Issuer,387,D,2021-10-17,S&P,Review
90,Instrument,350,A+,2022-05-13,Moody’s,Review
91,Instrument,1802,A,2021-11-05,S&P,Downgrade
92,Issuer,1916,CC,2023-06-14,S&P,Upgrade
93,Instrument,350,A,2022-04-23,Fitch,Review
94,Issuer,309,A+,2022-06-09,Moody’s,Downgrade
95,Instrument,1934,AA-,2022-10-01,Fitch,Initial
96,Instrument,73,BBB+,2023-08-02,Moody’s,Review
97,Instrument,31,B-,2023-07-19,Fitch,Initial
98,Issuer,657,CCC,2022-02-27,Fitch,Downgrade
99,Issuer,70,B,2023-04-13,S&P,Upgrade
100,Instrument,194,AA,2021-10-01,S&P,Downgrade
101,Issuer,248,D,2021-03-07,Moody’s,Downgrade
102,Instrument,1432,AA+,2021-12-16,S&P,Review
103,Issuer,301,C,2022-01-16,S&P,Upgrade
104,Issuer,97,BBB-,2021-02-27,S&P,Upgrade
105,Issuer,1402,B+,2023-02-21,Fitch,Review
106,Instrument,92,A-,2019-07-22,Moody’s,Review
107,Issuer,150,A-,2021-10-11,S&P,Initial
108,Issuer,422,AA-,2020-08-17,S&P,Review
109,Instrument,799,BBB+,2021-01-31,Moody’s,Initial
110,Issuer,127,D,2022-10-01,Moody’s,Downgrade
111,Instrument,450,BBB,2021-04-18,Fitch,Initial
112,Instrument,773,BBB,2023-09-22,S&P,Downgrade
113,Instrument,1284,BB-,2019-03-27,Fitch,Downgrade
114,Issuer,457,AA,2022-07-29,S&P,Initial
115,Issuer,1001,AA,2020-01-11,Fitch,Upgrade
116,Issuer,526,ZZZ,2020-08-06,Fitch,Upgrade
117,Instrument,536,AA-,2023-04-08,S&P,Downgrade
118,Issuer,1137,ZZZ,2027-02-07,S&P,Initial
119,Instrument,58,BBB+,2019-03-19,Moody’s,Review
120,Issuer,888888,AA,2020-05-10,Moody’s,Upgrade
121,Instrument,906,D,2023-04-25,S&P,Review
122,Issuer,90,ZZZ,2019-01-30,S&P,Upgrade
123,Instrument,718,B,2020-02-15,Fitch,Initial
124,Instrument,485,BBB-,2021-11-01,S&P,Review
125,Issuer,688,B,2019-02-21,Moody’s,Initial
126,Issuer,590,CC,2019-11-26,S&P,Upgrade
127,Issuer,34,B+,2021-11-26,Fitch,Initial
128,Issuer,659,BB,2019-03-20,S&P,Initial
129,Issuer,2,C,2019-04-30,Moody’s,Initial
130,Issuer,73,C,2022-01-22,S&P,Initial
131,Instrument,1321,BB-,2020-08-01,Fitch,Downgrade
132,Instrument,487,B-,2022-06-08,Moody’s,Upgrade
133,Instrument,461,A+,2021-07-19,Fitch,Upgrade
134,Issuer,327,A,2021-03-06,Moody’s,Review
135,Instrument,885,BBB-,2019-10-22,S&P,Downgrade
136,Instrument,1109,ZZZ,2021-04-03,S&P,Upgrade
137,Issuer,863,B+,2021-08-01,Fitch,Downgrade
138,Instrument,950,BB,2020-11-22,Moody’s,Downgrade
139,Issuer,422,BBB+,2020-03-20,Fitch,Review
140,Issuer,1494,D,2027-02-07,Moody’s,Downgrade
141,Instrument,438,BB-,2019-10-17,Moody’s,Initial
142,Instrument,427,D,2021-04-24,S&P,Review
143,Issuer,456,A,2022-09-12,Moody’s,Downgrade
144,Issuer,49,A-,2021-03-01,Fitch,Review
145,Instrument,1394,C,2023-04-25,S&P,Downgrade
146,Issuer,163,B,2020-05-18,Fitch,Review
147,Instrument,478,D,2021-12-22,Fitch,Initial
148,Issuer,176,AAA,2019-01-18,S&P,Upgrade
149,Issuer,462,BB,2020-02-20,Fitch,Review
150,Issuer,34,ZZZ,2022-06-30,Moody’s,Downgrade
151,Instrument,90,BBB-,2020-09-13,S&P,Review
152,Issuer,61,CC,2022-06-20,Moody’s,Review
153,Instrument,576,BBB+,2019-08-21,Fitch,Review
154,Instrument,21,A+,2021-02-19,Moody’s,Downgrade
155,Instrument,11,C,2022-11-10,Moody’s,Downgrade
156,Issuer,11,B-,2022-10-07,Fitch,Upgrade
157,Instrument,1816,BB,2019-05-22,S&P,Review
158,Instrument,1878,A+,2019-08-16,Fitch,Review
159,Instrument,406,AA,2020-12-27,Fitch,Downgrade
160,Issuer,1209,B+,2019-12-13,Moody’s,Upgrade
161,Issuer,1066,AAA,2021-09-29,Moody’s,Review
162,Issuer,1435,BBB-,2020-06-22,Moody’s,Downgrade
163,Instrument,384,B,2022-09-12,S&P,Upgrade
164,Issuer,475,D,2019-01-22,Fitch,Initial
165,Instrument,464,B-,2021-02-17,Moody’s,Initial
166,Instrument,688,BB,2023-07-03,Fitch,Downgrade
167,Instrument,272,BB,2023-01-12,Moody’s,Review
168,Instrument,43,B,2022-10-07,S&P,Upgrade
169,Issuer,66,AA-,2020-05-12,S&P,Review
170,Instrument,293,BBB+,2023-05-15,S&P,Initial
171,Issuer,1509,BB+,2023-11-18,Fitch,Initial
172,Issuer,888888,B,2022-07-16,Moody’s,Initial
173,Issuer,72,A-,2023-03-08,S&P,Review
174,Issuer,188,AAA,2021-06-05,Fitch,Review
175,Issuer,41,BB-,2020-10-18,Fitch,Review
176,Instrument,1451,B-,2022-05-24,Fitch,Review
177,Instrument,347,C,2023-11-07,S&P,Downgrade
178,Issuer,163,A,2020-02-09,Moody’s,Review
179,Issuer,1440,AA,2020-01-21,S&P,Upgrade
180,Issuer,326,ZZZ,2020-08-30,Fitch,Downgrade
181,Instrument,129,BB,2023-02-15,S&P,Initial
182,Instrument,83,AA,2019-05-07,S&P,Downgrade
183,Instrument,124,D,2023-03-28,Moody’s,Initial
184,Instrument,382,AA,2020-10-14,Fitch,Upgrade
185,Issuer,1490,BB+,2021-07-12,Moody’s,Downgrade
186,Instrument,391,B-,2020-10-03,Fitch,Review
187,Issuer,88,BB,2021-04-19,Moody’s,Downgrade
188,Instrument,1734,BB-,2021-08-07,Moody’s,Downgrade
189,Issuer,385,BB-,2027-02-07,S&P,Review
190,Instrument,446,A+,2021-03-29,Moody’s,Initial
191,Instrument,1356,A,2019-11-06,Fitch,Review
192,Issuer,888888,B-,2019-11-03,Moody’s,Upgrade
193,Issuer,201,A,2020-09-13,Fitch,Upgrade
194,Issuer,311,B-,2021-06-05,Moody’s,Review
195,Instrument,123,ZZZ,2019-08-06,S&P,Upgrade
196,Instrument,290,BBB+,2021-11-28,Moody’s,Review
197,Instrument,490,BBB-,2022-07-17,S&P,Upgrade
198,Instrument,879,D,2019-09-07,Fitch,Review
199,Instrument,192,A+,2021-01-26,Fitch,Downgrade
200,Issuer,190,B+,2020-05-19,S&P,Upgrade
201,Issuer,1849,BB+,2022-07-22,Moody’s,Upgrade
202,Instrument,679,A-,2019-09-18,Moody’s,Review
203,Issuer,511,B-,2022-02-27,Moody’s,Initial
204,Instrument,196,BB-,2023-03-17,S&P,Upgrade
205,Issuer,948,D,2023-01-30,Moody’s,Initial
206,Instrument,99,BBB,2022-12-28,S&P,Upgrade
207,Issuer,115,AAA,2020-11-01,Moody’s,Downgrade
208,Issuer,1960,BB+,2021-09-19,Moody’s,Review
209,Issuer,1224,D,2019-09-04,Moody’s,Initial
210,Issuer,1033,BBB-,2020-05-23,Moody’s,Downgrade
211,Issuer,105,A+,2020-08-29,S&P,Initial
212,Instrument,239,A+,2021-07-03,Fitch,Downgrade
213,Issuer,1554,BB+,2019-08-09,Moody’s,Downgrade
214,Instrument,311,B,2020-08-06,S&P,Review
215,Instrument,254,AA+,2023-11-13,Moody’s,Downgrade
216,Instrument,426,BB-,2022-01-31,S&P,Downgrade
217,Instrument,168,D,2023-09-09,S&P,Upgrade
218,Instrument,888888,AA+,2021-11-13,S&P,Review
219,Instrument,35,A+,2027-02-07,S&P,Review
220,Issuer,185,BB,2020-11-23,S&P,Downgrade
221,Instrument,1009,BB-,2022-01-21,S&P,Downgrade
222,Instrument,1123,AA,2023-07-26,S&P,Downgrade
223,Issuer,467,BBB,2020-04-10,S&P,Initial
224,Issuer,432,BBB+,2021-09-07,S&P,Initial
225,Issuer,1946,A+,2023-11-18,S&P,Upgrade
226,Instrument,325,BB-,2019-02-09,Fitch,Upgrade
227,Instrument,366,B+,2022-01-31,S&P,Initial
228,Issuer,428,BBB+,2022-04-08,Moody’s,Initial
229,Instrument,1192,BB,2021-11-08,S&P,Downgrade
230,Issuer,4,D,2020-07-30,Moody’s,Upgrade
231,Instrument,104,D,2020-06-08,Moody’s,Review
232,Instrument,805,AA-,2022-08-25,Moody’s,Downgrade
233,Issuer,496,CCC,2023-04-26,Moody’s,Review
234,Issuer,199,AA-,2023-03-02,S&P,Review
235,Instrument,1381,A-,2022-04-29,Moody’s,Upgrade
236,Instrument,321,BBB+,2027-02-07,Moody’s,Review
237,Issuer,111,A,2023-10-29,Moody’s,Review
238,Instrument,796,BB+,2021-07-26,Moody’s,Review
239,Instrument,306,BBB-,2023-06-17,Fitch,Review
240,Issuer,1812,AAA,2023-10-13,S&P,Initial
241,Issuer,1905,AAA,2020-09-13,Moody’s,Downgrade
242,Issuer,189,A-,2022-08-15,S&P,Downgrade
243,Instrument,214,AAA,2020-09-01,S&P,Initial
244,Instrument,234,A-,2019-09-04,Fitch,Initial
245,Instrument,58,ZZZ,2023-01-24,S&P,Downgrade
246,Instrument,360,C,2021-09-09,S&P,Review
247,Issuer,348,ZZZ,2019-03-03,S&P,Downgrade
248,Instrument,845,A,2019-01-28,Fitch,Initial
249,Issuer,1795,BBB,2022-12-24,Moody’s,Downgrade
250,Issuer,50,BBB,2023-11-21,S&P,Review
251,Instrument,1332,AA+,2023-11-24,Fitch,Downgrade
252,Instrument,1466,AA+,2020-08-09,Moody’s,Initial
253,Instrument,888888,CC,2019-12-02,Moody’s,Upgrade
254,Issuer,328,BB,2021-04-13,S&P,Downgrade
255,Instrument,178,BBB-,2019-10-30,Fitch,Downgrade
256,Instrument,222,AA,2022-05-18,Moody’s,Review
257,Instrument,1322,B,2021-07-12,Fitch,Review
258,Issuer,471,A+,2022-05-11,Moody’s,Review
259,Issuer,1623,A-,2023-08-16,Fitch,Downgrade
260,Issuer,1804,AA-,2021-10-23,Fitch,Initial
261,Issuer,522,CC,2022-09-23,S&P,Review
262,Instrument,167,BB,2022-01-28,Moody’s,Downgrade
263,Issuer,1536,B+,2022-11-09,S&P,Review
264,Instrument,356,A-,2023-01-06,S&P,Initial
265,Instrument,37,BBB-,2020-05-10,Moody’s,Upgrade
266,Issuer,198,A-,2019-02-18,S&P,Initial
267,Instrument,96,AA,2019-05-18,Moody’s,Downgrade
268,Issuer,184,BB-,2019-01-22,Fitch,Upgrade
269,Instrument,107,BBB-,2021-05-27,Fitch,Downgrade
270,Issuer,65,B-,2020-10-16,Moody’s,Initial
271,Instrument,1764,BB-,2023-03-22,Fitch,Initial
272,Instrument,1271,BB,2022-11-03,Moody’s,Initial
273,Instrument,250,AA,2021-08-30,Moody’s,Initial
274,Issuer,426,AA-,2021-07-20,Moody’s,Upgrade
275,Issuer,962,AA+,2020-10-23,Moody’s,Downgrade
276,Issuer,195,ZZZ,2022-11-01,S&P,Initial
277,Instrument,93,ZZZ,2020-07-16,Fitch,Downgrade
278,Issuer,61,CCC,2021-10-02,S&P,Downgrade
279,Instrument,82,BBB-,2022-05-16,Moody’s,Downgrade
280,Issuer,888888,AA,2020-02-12,Moody’s,Downgrade
281,Issuer,398,A,2023-05-02,Moody’s,Initial
282,Instrument,175,C,2023-09-28,Moody’s,Review
283,Instrument,1942,AA-,2019-07-27,S&P,Review
284,Issuer,1939,D,2022-02-26,S&P,Downgrade
285,Instrument,358,B+,2019-02-12,Fitch,Upgrade
286,Issuer,18,BBB,2021-06-12,Fitch,Downgrade
287,Issuer,135,BB,2021-08-30,Moody’s,Review
288,Issuer,83,AA,2022-03-14,S&P,Review
289,Instrument,1119,BB,2022-02-15,Moody’s,Downgrade
290,Issuer,1345,A,2022-04-07,Moody’s,Initial
291,Issuer,76,BBB-,2019-09-30,Fitch,Downgrade
292,Issuer,262,AAA,2019-08-19,Fitch,Upgrade
293,Issuer,416,A+,2020-10-16,S&P,Downgrade
294,Issuer,244,B-,2021-09-07,S&P,Initial
295,Issuer,325,CC,2023-10-25,S&P,Review
296,Issuer,298,AA,2021-09-05,Fitch,Initial
297,Issuer,386,B+,2023-09-16,Fitch,Upgrade
298,Issuer,833,AA+,2023-03-21,Moody’s,Initial
299,Instrument,57,A-,2022-10-07,Fitch,Upgrade
300,Instrument,429,BBB+,2023-03-14,S&P,Downgrade
301,Instrument,1548,A,2020-05-09,Fitch,Upgrade
302,Instrument,887,D,2019-03-05,Moody’s,Initial
303,Issuer,1592,A+,2023-05-02,Fitch,Initial
304,Instrument,144,B,2022-08-24,Moody’s,Upgrade
305,Instrument,1752,B-,2027-02-07,Moody’s,Downgrade
306,Issuer,47,ZZZ,2020-12-02,Fitch,Initial
307,Instrument,1914,BBB,2023-11-27,Moody’s,Review
308,Instrument,664,BBB+,2022-03-05,S&P,Upgrade
309,Instrument,172,CCC,2022-10-16,Moody’s,Upgrade
310,Instrument,1372,A-,2023-04-23,Fitch,Review
311,Instrument,352,BB,2022-12-30,Fitch,Upgrade
312,Issuer,1192,CCC,2019-12-22,S&P,Upgrade
313,Issuer,405,BB+,2020-01-10,Fitch,Downgrade
314,Instrument,248,BBB,2022-03-09,Moody’s,Upgrade
315,Issuer,37,BBB,2019-09-12,Moody’s,Downgrade
316,Issuer,416,BBB,2021-10-10,Moody’s,Upgrade
317,Instrument,27,B+,2022-07-10,Moody’s,Initial
318,Instrument,161,AA-,2019-10-14,S&P,Initial
319,Instrument,112,AA+,2023-10-02,S&P,Upgrade
320,Issuer,550,A+,2023-05-25,S&P,Downgrade
321,Issuer,339,C,2019-05-03,S&P,Initial
322,Instrument,1474,BBB,2020-08-05,Moody’s,Review
323,Issuer,310,C,2023-03-20,Moody’s,Upgrade
324,Issuer,284,C,2020-10-10,S&P,Review
325,Instrument,316,AAA,2027-02-07,S&P,Upgrade
326,Instrument,127,B+,2020-03-28,S&P,Downgrade
327,Issuer,888888,BBB+,2020-07-26,S&P,Initial
328,Issuer,892,C,2023-10-30,Fitch,Downgrade
329,Instrument,52,AA,2021-04-16,Fitch,Downgrade
330,Instrument,455,BB-,2023-10-09,Fitch,Downgrade
331,Issuer,557,A-,2022-10-10,Moody’s,Downgrade
332,Instrument,256,CCC,2022-06-14,Moody’s,Downgrade
333,Issuer,361,AA,2022-05-15,Fitch,Downgrade
334,Issuer,425,A-,2020-10-05,Moody’s,Downgrade
335,Instrument,149,BBB+,2021-02-16,Fitch,Downgrade
336,Issuer,1154,BBB+,2022-08-14,Fitch,Initial
337,Instrument,45,BB-,2022-03-16,Moody’s,Upgrade
338,Instrument,224,B,2021-05-18,S&P,Downgrade
339,Instrument,138,BB,2020-06-16,Moody’s,Review
340,Issuer,300,CCC,2022-05-11,Fitch,Review
341,Issuer,747,AA+,2023-04-07,S&P,Initial
342,Issuer,357,CC,2019-04-13,Moody’s,Initial
343,Instrument,151,A+,2023-10-25,Moody’s,Upgrade
344,Issuer,160,A,2021-12-02,S&P,Review
345,Issuer,1173,A,2020-08-13,Fitch,Downgrade
346,Instrument,484,AAA,2023-07-13,S&P,Initial
347,Issuer,552,A,2021-12-29,S&P,Downgrade
348,Instrument,313,CC,2020-01-18,S&P,Initial
349,Instrument,1570,BBB,2027-02-07,S&P,Initial
350,Instrument,25,B-,2019-11-16,S&P,Review
351,Instrument,572,B,2020-05-18,Moody’s,Review
352,Issuer,332,D,2023-03-26,S&P,Initial
353,Instrument,148,B,2021-12-19,Moody’s,Downgrade
354,Instrument,956,CCC,2020-12-25,Fitch,Downgrade
355,Instrument,835,A,2021-10-27,Moody’s,Review
356,Issuer,308,BB,2023-09-21,Moody’s,Initial
357,Instrument,154,BB,2019-02-18,Moody’s,Downgrade
358,Issuer,442,B+,2023-05-07,Fitch,Review
359,Instrument,1619,A+,2022-08-22,Moody’s,Downgrade
360,Issuer,462,ZZZ,2021-06-18,Moody’s,Downgrade
361,Instrument,239,BB,2020-02-24,Moody’s,Review
362,Instrument,503,A+,2022-08-03,S&P,Upgrade
363,Instrument,239,BB-,2022-08-31,Moody’s,Initial
364,Instrument,263,CC,2021-09-04,S&P,Downgrade
365,Issuer,100,BBB-,2021-11-03,S&P,Initial
366,Issuer,365,CC,2027-02-07,S&P,Initial
367,Issuer,761,AAA,2021-07-07,Moody’s,Upgrade
368,Instrument,168,BBB-,2021-01-23,S&P,Initial
369,Instrument,888,CCC,2019-03-16,Fitch,Initial
370,Issuer,774,BB+,2022-09-14,Fitch,Downgrade
371,Instrument,391,A-,2019-07-10,Fitch,Downgrade
372,Instrument,22,AA+,2020-09-12,S&P,Review
373,Issuer,888888,B+,2023-06-26,S&P,Downgrade
374,Instrument,432,AAA,2019-05-16,S&P,Initial
375,Instrument,1612,AA,2020-03-24,Moody’s,Review
376,Instrument,343,B,2023-07-21,Moody’s,Upgrade
377,Instrument,529,C,2022-02-17,Fitch,Upgrade
378,Instrument,1368,C,2021-12-01,Fitch,Upgrade
379,Issuer,12,B+,2021-09-16,Moody’s,Upgrade
380,Instrument,371,BB-,2019-04-16,Fitch,Upgrade
381,Instrument,76,CC,2020-04-02,S&P,Review
382,Instrument,1897,AA-,2022-11-29,Fitch,Upgrade
383,Instrument,859,C,2020-11-09,Moody’s,Initial
384,Issuer,247,AA,2023-05-07,Moody’s,Initial
385,Instrument,222,A+,2021-04-28,Moody’s,Initial
386,Instrument,243,BBB-,2020-04-27,Moody’s,Downgrade
387,Instrument,831,B+,2023-10-06,S&P,Upgrade
388,Issuer,338,BB+,2019-11-23,Fitch,Upgrade
389,Instrument,207,AA,2019-06-18,Fitch,Initial
390,Issuer,1009,AA,2023-06-14,Fitch,Review
391,Issuer,91,AA+,2019-10-01,Moody’s,Upgrade
392,Instrument,180,AA+,2019-12-05,Moody’s,Upgrade
393,Issuer,299,AA,2019-03-22,Fitch,Initial
394,Issuer,1838,BB-,2023-08-15,Moody’s,Initial
395,Instrument,1261,CCC,2019-05-27,Fitch,Upgrade
396,Issuer,311,BBB,2019-11-19,Fitch,Initial
397,Instrument,1412,BBB-,2019-03-07,Moody’s,Upgrade
398,Issuer,1660,B,2021-01-04,Fitch,Upgrade
399,Instrument,1669,BB-,2021-05-06,S&P,Upgrade
400,Instrument,237,A+,2022-12-11,S&P,Initial
401,Issuer,449,AA-,2019-10-30,S&P,Downgrade
402,Issuer,38,BBB-,2023-04-27,Moody’s,Upgrade
403,Issuer,892,ZZZ,2019-09-09,Fitch,Upgrade
404,Issuer,1344,AA+,2021-01-15,S&P,Downgrade
405,Issuer,26,AA+,2023-09-19,Moody’s,Downgrade
406,Issuer,950,BB-,2023-05-25,Fitch,Upgrade
407,Instrument,168,B+,2022-09-10,Moody’s,Review
408,Issuer,337,ZZZ,2021-05-01,S&P,Downgrade
409,Instrument,453,A+,2020-05-06,Fitch,Downgrade
410,Instrument,1477,A,2027-02-07,S&P,Initial
411,Instrument,1639,D,2021-02-02,Moody’s,Initial
412,Issuer,423,CCC,2020-02-18,S&P,Review
413,Instrument,1757,CCC,2020-07-14,Fitch,Downgrade
414,Issuer,487,AA+,2021-07-20,Fitch,Upgrade
415,Instrument,171,AAA,2021-04-14,Fitch,Initial
416,Instrument,855,B,2022-05-31,Fitch,Review
417,Instrument,457,B,2020-06-26,Moody’s,Initial
418,Issuer,1187,BBB,2021-03-19,Moody’s,Initial
419,Issuer,488,B,2020-05-04,Moody’s,Initial
420,Instrument,39,BBB,2022-01-01,Fitch,Downgrade
421,Issuer,1951,BBB-,2023-04-24,Fitch,Initial
422,Instrument,438,CC,2022-09-16,Fitch,Upgrade
423,Issuer,1896,BB-,2022-02-22,Fitch,Upgrade
424,Issuer,411,AAA,2022-11-04,Moody’s,Initial
425,Instrument,1939,B-,2019-02-12,S&P,Review
426,Instrument,150,BBB,2021-05-01,S&P,Downgrade
427,Issuer,741,AA-,2023-04-16,Moody’s,Upgrade
428,Issuer,80,AA-,2023-10-14,S&P,Review
429,Issuer,1627,BBB,2020-01-02,S&P,Downgrade
430,Instrument,393,CC,2021-08-10,Fitch,Initial
431,Instrument,570,AA,2020-12-30,S&P,Upgrade
432,Issuer,97,CC,2020-05-27,Fitch,Initial
433,Issuer,333,A+,2020-12-01,S&P,Review
434,Instrument,1551,BB,2019-03-03,Moody’s,Downgrade
435,Instrument,263,BB-,2020-03-10,S&P,Review
436,Instrument,1532,AA,2023-03-06,S&P,Downgrade
437,Instrument,329,BB,2020-02-12,S&P,Initial
438,Instrument,293,BB,2019-02-05,Fitch,Upgrade
439,Instrument,429,AAA,2020-10-07,Moody’s,Initial
440,Issuer,1218,CCC,2022-02-23,S&P,Review
441,Instrument,888888,BB+,2019-09-03,Fitch,Initial
442,Instrument,275,B+,2020-08-23,S&P,Initial
443,Issuer,1362,A+,2022-11-26,Moody’s,Downgrade
444,Issuer,436,B+,2019-06-02,Fitch,Upgrade
445,Issuer,379,BBB-,2021-04-13,S&P,Initial
446,Instrument,365,AA,2023-11-16,S&P,Initial
447,Instrument,500,BBB,2023-04-22,Moody’s,Upgrade
448,Issuer,109,C,2023-06-28,S&P,Review
449,Issuer,431,CC,2023-03-26,Fitch,Initial
450,Instrument,1348,BBB-,2019-07-25,Moody’s,Initial
451,Instrument,861,AA,2022-09-09,Moody’s,Upgrade
452,Issuer,49,C,2019-01-09,S&P,Downgrade
453,Issuer,185,ZZZ,2022-01-14,S&P,Upgrade
454,Issuer,1150,BBB+,2019-06-17,Moody’s,Review
455,Issuer,1166,AA-,2022-07-15,S&P,Downgrade
456,Issuer,260,A,2023-02-20,Fitch,Review
457,Instrument,268,BBB,2022-03-27,Fitch,Review
458,Instrument,122,B+,2020-03-08,Fitch,Downgrade
459,Issuer,600,BB,2019-10-06,Moody’s,Downgrade
460,Instrument,316,AA-,2022-12-18,Moody’s,Upgrade
461,Instrument,59,BB-,2022-04-24,S&P,Upgrade
462,Issuer,1668,C,2019-09-03,Fitch,Review
463,Issuer,473,BBB+,2023-03-06,S&P,Initial
464,Instrument,112,BBB,2019-08-19,Fitch,Initial
465,Issuer,1700,AAA,2021-04-26,S&P,Upgrade
466,Issuer,76,AA-,2023-11-15,Moody’s,Upgrade
467,Instrument,266,BBB,2021-06-27,Fitch,Review
468,Issuer,181,A-,2023-11-17,Fitch,Review
469,Instrument,141,B+,2019-04-11,Moody’s,Initial
470,Instrument,32,AA+,2023-03-13,Moody’s,Upgrade
471,Issuer,452,BBB-,2019-10-16,Moody’s,Upgrade
472,Issuer,8,B-,2023-05-29,Fitch,Initial
